//DUBAI CTA V (5500 - FL155)
T;DUBAI CTA V;25.13472;54.52583;
T;DUBAI CTA V;25.10139;54.86111;
T;DUBAI CTA V;25.07056;54.91694;
T;DUBAI CTA V;25.04861;55.19722;
T;DUBAI CTA V;24.99028;55.19806;
T;DUBAI CTA V;24.94167;55.19861;
T;DUBAI CTA V;24.78389;55.09889;
T;DUBAI CTA V;24.88389;54.89944;
T;DUBAI CTA V;24.91667;54.83333;
T;DUBAI CTA V;24.95000;54.41278;
T;DUBAI CTA V;25.12028;54.52500;
T;DUBAI CTA V;25.13472;54.52583;
//DUBAI CTA (700 - FL155)
T;DUBAI CTA;25.91999;55.63087;
T;DUBAI CTA;25.46667;55.75000;
T;DUBAI CTA;25.38333;56.16667;
T;DUBAI CTA;25.17056;56.11556;
T;DUBAI CTA;24.90563;56.05227;
T;DUBAI CTA;24.79167;56.02500;
T;DUBAI CTA;24.77167;55.99417;
T;DUBAI CTA;24.66694;55.83333;
T;DUBAI CTA;24.58333;55.83333;
T;DUBAI CTA;24.58333;55.45000;
T;DUBAI CTA;24.58139;55.40583;
T;DUBAI CTA;24.67500;55.24167;
T;DUBAI CTA;24.75556;55.08056;
T;DUBAI CTA;24.78389;55.09889;
T;DUBAI CTA;24.88389;54.89944;
T;DUBAI CTA;24.91667;54.83333;
T;DUBAI CTA;24.95000;54.41278;
T;DUBAI CTA;25.12028;54.52500;
T;DUBAI CTA;25.13472;54.52583;
T;DUBAI CTA;25.34000;54.53667;
T;DUBAI CTA;25.47056;54.65111;
T;DUBAI CTA;25.44972;54.73000;
T;DUBAI CTA;25.75046;54.97362;
T;DUBAI CTA;25.69445;55.14606;
T;DUBAI CTA;25.63333;55.33333;
T;DUBAI CTA;25.91999;55.63087;
